record_id,field,raw_value,problem,action_taken
R017,renews_on,12/10/2026,ambiguous date '12/10/2026' – defaulted to DD/MM/YYYY (Pakistan locale),set to '2026-10-12'
R018,status,Cancelled - Refund,status normalised,set to 'cancelled'
R018,amount,"(1,500.00)",amount normalised,set to -1500.0
R018,status,Cancelled - Refund,cancelled service,kept in clean.csv with status 'cancelled'
R018,amount,"(1,500.00)",negative amount interpreted as refund,kept as -1500.0
R019,domain,www.westgate.pk,domain normalised,set to 'westgate.pk'
R019,amount,$45.00,currency is USD – cannot safely convert to PKR,kept numeric value 45.0 as-is; flagged for review
R019,status,Active,USD amount – record flagged,set to 'flagged'
R020,amount,PKR12000,amount normalised,set to 12000.0
R020b,domain,www.ledgerhost.pk,domain normalised,set to 'ledgerhost.pk'
R020b,amount,"12.500,00 PKR","European-style number format '12.500,00 PKR'",interpreted as 12500.0
R020c,amount,PKR —500,garbled amount containing dash character in 'PKR —500',set to empty; flagged
R020d,domain,www.thistledown.pk,domain normalised,set to 'thistledown.pk'
R020d,amount,Free,amount is 'Free',set to 0.00
R020e,amount,Waived,amount is 'Waived',set to 0.00
R020f,domain,www.hollowbrook.pk,domain normalised,set to 'hollowbrook.pk'
R020f,amount,"PKR 4,600.00 USD",ambiguous currency (both PKR and USD mentioned),kept numeric value 4600.0 as-is; flagged for review
R020f,status,Active,ambiguous currency – record flagged,set to 'flagged'
R021,domain,HTTPS://WWW.Zenithweb.PK/,domain normalised,set to 'zenithweb.pk'
R021,amount,"PKR 4,900",amount normalised,set to 4900.0
R021,registered_on,09/06/2025,ambiguous date '09/06/2025' – defaulted to DD/MM/YYYY (Pakistan locale),set to '2025-06-09'
R022,amount,"PKR 4,300",amount normalised,set to 4300.0
R023,domain,quartzvps.pk/,domain normalised,set to 'quartzvps.pk'
R023,amount,"PKR 3,100",amount normalised,set to 3100.0
R011b,record,,exact duplicate of R011 (same customer/domain/service/amount/dates/status),dropped – kept R011
